,age,sex,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,shortcamp,ohpr,ohll,dl,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,max_sport_numeric,max_boulder_numeric
0,43.0,2.0,7.0,1.0,3.0,3.0,165.1,68.49244787,165.1,2.0,6.0,16.0,16.78291769,4.535923700000001,31.0,41.0,62.0,11.339809250000002,10.886216880000001,67.675981604,25.1,0.0292002996271361,1.0662251655629138,1.2450331125827816,4.0,1.0
1,16.0,2.0,5.0,5.0,2.0,4.0,162.56,56.69904625,162.56,15.0,30.0,28.0,4.535923700000001,9.071847400000001,120.0,79.886,95.276,6.80388555,6.80388555,49.895160700000005,21.5,0.2645547146218531,1.1600000000000001,1.0799999999999998,11.0,5.0
2,19.0,1.0,7.0,5.0,2.0,5.0,177.8,70.30681735,187.96,18.0,70.0,54.0,15.875732950000002,38.55535145,117.0,114.0,301.0,22.498181552,22.498181552,127.36873749600002,22.2,0.2560206915695352,1.5483870967741935,1.2258064516129032,15.0,8.0
3,34.0,1.0,7.0,4.0,2.0,6.0,172.72,74.84274105,182.88,15.0,35.0,47.0,22.6796185,31.751465900000003,132.8,85.2,117.2,21.863152234,21.863152234,111.40228607200001,25.1,0.2004202383498887,1.4242424242424243,1.303030303030303,9.0,7.0
4,30.0,2.0,5.0,3.0,2.0,4.0,172.72,64.41011654,177.8,5.0,7.0,34.8,15.875732950000002,11.33980925,85.0,95.0,210.0,11.33980925,11.33980925,65.77089365,21.6,0.07762755710735125,1.176056338028169,1.2464788732394365,9.0,7.0
5,38.0,1.0,7.0,4.0,4.0,8.0,177.8,83.91458845000001,188.46800000000002,8.0,12.0,17.0,13.6077711,24.947580350000003,83.0,48.0,54.0,22.316744604,21.772433760000002,107.95498405999999,26.5,0.09533503229616326,1.2972972972972971,1.162162162162162,13.0,1.0
6,31.0,2.0,6.0,3.0,3.0,9.0,186.69,64.86370891,193.04,8.0,7.0,32.8,11.33980925,11.33980925,80.0,112.0,235.0,18.597287169999998,17.23651006,83.00740371,18.6,0.1233355312922392,1.1748251748251748,1.1748251748251748,11.0,6.0
7,37.0,2.0,6.0,4.0,1.0,4.0,175.26,63.502931800000006,177.8,12.0,22.0,53.0,32.567932166000006,31.207155055999998,116.0,104.6,152.8,20.502375124000004,20.048782754,111.13013065000003,20.7,0.18896765330132362,1.4757412448945297,1.4888920644782715,9.0,7.0
8,31.0,1.0,6.0,2.0,2.0,8.0,181.61,74.84274105,189.23,18.0,22.0,65.0,40.8233133,47.62719885,195.0,65.0,462.0,23.586803240000002,22.6796185,145.14955840000002,22.7,0.24050428601986645,1.6363636363636362,1.5454545454545454,17.0,11.0
9,30.0,2.0,7.0,2.0,2.0,8.0,165.1,52.163122550000004,164.465,13.0,16.0,31.0,10.43262451,20.86524902,62.0,72.0,332.0,18.415850222,17.23651006,60.32778521,19.1,0.24921820942638334,1.4,1.2,15.0,7.0
