sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull
Male,173,77,5,V8,0,16,0,15,29
Male,180,81,3,V3,5b,4,0,11,5
Male,178,67,1,V7,6b+,12,25,17,20
Male,173,70,9,V5,6b+,8,15,8,0
Male,184,84,7,V10,0,24,0,0,0
Male,176,67,5,V7,6c,0,0,9,0
Male,184,75,1,V4,0,8,0,15,18
Male,186,88,2,V5,7a,12,0,9,25
Male,185,60,1,V2,6b+,4,0,0,0
Male,180,80,9,V9,0,16,60,0,0
Male,178,81.6,6,V7,7b,8,0,7,0
Male,175,60,6,V8,8a+,8,0,0,0
Female,168,54,1,V6,7b,16,0,12,0
Female,157.5,50.8,3,V4,7a,8,0,3,0
Male,163,65,5,V11,0,16,60,35,0
Male,174,70,1,V3,6c,0,0,10,0
Male,188,100,4,V9,7b,16,22,25,40
Female,164,53,2,V6,0,12,0,11,0
Male,176,60,3,V7,7b,12,45,10,0
Male,175,63.5,4,V10,0,12,50,0,0
Male,190,82,3,V6,7a+,12,10,10,15
Male,177,66,8,V7,8a,12,0,20,0
Male,179,69,12,V10,8b,12,14,12,10
Male,185.4,82,4,V7,7c+,12,49.8,0,0
Female,165.1,53,4,V3,6c,20,0,5,0
Female,157,47,8,V0,7c,16,0,0,14
Male,180,79.5,0,V4,0,12,0,18,30
Male,186,73,2,V5,7a,8,0,12,0
Male,183,100,2,V6,7b,8,0,12,25
Male,167,60,4,V9,6c,12,30,13,35
Male,173,86,2,V6,7a,12,30,32,65
Male,182,72,15,V11,8b,12,62,25,55
Male,170,64,1,V6,7b,4,0,16,0
Male,182,76,5,V6,7b+,4,0,10,0
Male,175,177,4,V9,7c,8,0,25,35
Male,178,70.3,0,V4,5b,12,0,18,50
Male,183,80,2,V4,6b,12,0,10,0
Male,175,85,3,V8,7b,16,0,0,0
Male,182,73,15,V8,0,12,0,15,35
Male,173,58,2,V8,0,8,25,0,20
Male,62,172,8,V11,8a,12,50,13,0
Male,193,79,2,V8,7b,12,0,20,0
Male,174,65,1,V5,6c,12,0,15,0
Male,186,72.5,2,V8,7c,16,38.5,20,30
Male,188,73,0,V0,5b,4,0,16,0
Female,172.72,79.3787,3,V3,6c,16,0,1,0
Male,182,79,3,V6,6c,12,5,12,15
Male,178,74,1,V5,6b+,16,0,0,0
Male,170,59,3,V8,0,20,0,20,45
Female,168,69,5,V6,7b,16,0,6,0
Male,185,79,3,V6,7c,20,0,0,0
Male,195,85,2,V5,0,12,0,0,0
Male,176,63.5,3,V9,8a,12,0,0,0
